,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7650602409638554,0.5869856459330143,0.21505376344086025,0.21951219512195122,0.944
1,10,0.7891566265060241,0.6392872664059106,0.20497311827956988,0.2926829268292683,0.952
2,15,0.8253012048192772,0.7087895469118626,0.16935483870967738,0.3902439024390244,0.968
3,20,0.8373493975903614,0.747564066460152,0.15927419354838712,0.4878048780487805,0.952
4,25,0.8373493975903614,0.7417458945548834,0.15389784946236562,0.4634146341463415,0.96
5,30,0.8433734939759037,0.7421744324970132,0.1518817204301075,0.43902439024390244,0.976
6,35,0.8493975903614458,0.7551189001003127,0.14919354838709675,0.4634146341463415,0.976
7,40,0.8313253012048193,0.7290111940298507,0.13844086021505375,0.43902439024390244,0.96
8,45,0.8614457831325302,0.7747093880922877,0.13642473118279574,0.4878048780487805,0.984
9,50,0.8734939759036144,0.8079021325838982,0.12298387096774188,0.5853658536585366,0.968
10,55,0.8734939759036144,0.7942998760842628,0.125,0.5121951219512195,0.992
11,60,0.8674698795180723,0.787080223880597,0.12634408602150538,0.5121951219512195,0.984
12,65,0.891566265060241,0.8335561497326204,0.12298387096774188,0.6097560975609756,0.984
13,70,0.8734939759036144,0.8036609405801183,0.13306451612903225,0.5609756097560976,0.976
14,75,0.891566265060241,0.8370774263904035,0.14045698924731187,0.6341463414634146,0.976
15,80,0.8855421686746988,0.822359898620107,0.133736559139785,0.5853658536585366,0.984
16,85,0.8734939759036144,0.7991356957649093,0.1411290322580645,0.5365853658536586,0.984
17,90,0.891566265060241,0.8298017771701982,0.11895161290322576,0.5853658536585366,0.992
18,95,0.8975903614457831,0.8410588566600957,0.1303763440860215,0.6097560975609756,0.992
19,100,0.8734939759036144,0.8079021325838982,0.12298387096774188,0.5853658536585366,0.968
20,105,0.8855421686746988,0.8182656295015845,0.12903225806451613,0.5609756097560976,0.992
21,110,0.8855421686746988,0.8261971675759079,0.12634408602150538,0.6097560975609756,0.976
22,112,0.891566265060241,0.8335561497326204,0.12768817204301075,0.6097560975609756,0.984
