,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.6582278481012658,0.5686552072800809,0.38319088319088324,0.32,0.8148148148148148
1,10,0.759493670886076,0.6647308465490285,0.30056980056980054,0.36,0.9444444444444444
2,15,0.7468354430379747,0.6535087719298246,0.29772079772079774,0.36,0.9259259259259259
3,20,0.7721518987341772,0.6987288135593219,0.26353276353276356,0.44,0.9259259259259259
4,25,0.810126582278481,0.7353138262229171,0.22934472934472938,0.44,0.9814814814814815
5,30,0.7974683544303798,0.7122040072859745,0.2008547008547008,0.4,0.9814814814814815
6,35,0.810126582278481,0.7446670976082741,0.21082621082621078,0.48,0.9629629629629629
7,40,0.8354430379746836,0.7859078590785908,0.18376068376068377,0.56,0.9629629629629629
8,45,0.8607594936708861,0.812755871579401,0.16809116809116809,0.56,1.0
9,50,0.8860759493670886,0.8562184024266937,0.15669515669515666,0.68,0.9814814814814815
10,55,0.8607594936708861,0.8242669362992923,0.16524216524216528,0.64,0.9629629629629629
11,60,0.8734177215189873,0.8425039872408293,0.15954415954415957,0.68,0.9629629629629629
12,65,0.8481012658227848,0.8054187192118227,0.1709401709401709,0.6,0.9629629629629629
13,70,0.8734177215189873,0.837848932676519,0.1709401709401709,0.64,0.9814814814814815
14,75,0.8481012658227848,0.8054187192118227,0.18091168091168086,0.6,0.9629629629629629
15,80,0.8607594936708861,0.8188451115280384,0.15384615384615385,0.6,0.9814814814814815
16,85,0.8734177215189873,0.837848932676519,0.15954415954415957,0.64,0.9814814814814815
17,90,0.8860759493670886,0.8562184024266937,0.13817663817663817,0.68,0.9814814814814815
18,95,0.8734177215189873,0.8326271186440677,0.14672364672364668,0.6,1.0
19,100,0.8987341772151899,0.8740031897926634,0.13532763532763536,0.72,0.9814814814814815
20,105,0.8860759493670886,0.8517823639774859,0.14387464387464388,0.64,1.0
21,110,0.8607594936708861,0.8188451115280384,0.14102564102564108,0.6,0.9814814814814815
22,115,0.8860759493670886,0.8517823639774859,0.13247863247863245,0.64,1.0
23,120,0.8607594936708861,0.8242669362992923,0.1339031339031339,0.64,0.9629629629629629
24,125,0.8734177215189873,0.837848932676519,0.1310541310541311,0.64,0.9814814814814815
25,130,0.8734177215189873,0.837848932676519,0.12962962962962965,0.64,0.9814814814814815
26,135,0.8607594936708861,0.8242669362992923,0.12678062678062674,0.64,0.9629629629629629
27,140,0.9240506329113924,0.9079968944099379,0.12962962962962965,0.8,0.9814814814814815
28,145,0.8734177215189873,0.837848932676519,0.12393162393162394,0.64,0.9814814814814815
29,150,0.8987341772151899,0.8702791461412152,0.12250712250712248,0.68,1.0
30,155,0.8860759493670886,0.8562184024266937,0.12393162393162394,0.68,0.9814814814814815
31,160,0.8860759493670886,0.8562184024266937,0.1253561253561254,0.68,0.9814814814814815
32,165,0.8734177215189873,0.8326271186440677,0.12962962962962965,0.6,1.0
33,170,0.8607594936708861,0.8242669362992923,0.11396011396011396,0.64,0.9629629629629629
34,175,0.8734177215189873,0.8326271186440677,0.11965811965811968,0.6,1.0
35,180,0.8860759493670886,0.8517823639774859,0.1310541310541311,0.64,1.0
36,185,0.8860759493670886,0.8517823639774859,0.11680911680911676,0.64,1.0
37,190,0.8734177215189873,0.8326271186440677,0.1125356125356125,0.6,1.0
38,195,0.8860759493670886,0.8517823639774859,0.1253561253561254,0.64,1.0
39,200,0.8860759493670886,0.8517823639774859,0.11538461538461542,0.64,1.0
40,205,0.8860759493670886,0.8517823639774859,0.11965811965811968,0.64,1.0
41,210,0.8987341772151899,0.8702791461412152,0.11538461538461542,0.68,1.0
42,215,0.8987341772151899,0.8702791461412152,0.12108262108262113,0.68,1.0
43,220,0.8860759493670886,0.8517823639774859,0.12393162393162394,0.64,1.0
44,225,0.8987341772151899,0.8702791461412152,0.11680911680911676,0.68,1.0
45,230,0.8860759493670886,0.8517823639774859,0.11680911680911676,0.64,1.0
46,235,0.8860759493670886,0.8517823639774859,0.10683760683760679,0.64,1.0
47,240,0.9240506329113924,0.9055023923444976,0.12108262108262113,0.76,1.0
48,245,0.8734177215189873,0.8326271186440677,0.11823361823361822,0.6,1.0
49,250,0.8860759493670886,0.8517823639774859,0.13960113960113962,0.64,1.0
50,255,0.8734177215189873,0.837848932676519,0.11396011396011396,0.64,0.9814814814814815
51,260,0.8734177215189873,0.837848932676519,0.12393162393162394,0.64,0.9814814814814815
52,265,0.8987341772151899,0.8702791461412152,0.11823361823361822,0.68,1.0
53,270,0.8860759493670886,0.8517823639774859,0.1096866096866097,0.64,1.0
54,275,0.8860759493670886,0.8517823639774859,0.11396011396011396,0.64,1.0
55,280,0.8734177215189873,0.837848932676519,0.11965811965811968,0.64,0.9814814814814815
56,285,0.8734177215189873,0.837848932676519,0.12108262108262113,0.64,0.9814814814814815
57,290,0.8860759493670886,0.8517823639774859,0.11538461538461542,0.64,1.0
58,295,0.8860759493670886,0.8517823639774859,0.11823361823361822,0.64,1.0
59,300,0.8860759493670886,0.8562184024266937,0.11680911680911676,0.68,0.9814814814814815
60,305,0.8987341772151899,0.8702791461412152,0.11680911680911676,0.68,1.0
61,310,0.8860759493670886,0.8562184024266937,0.1310541310541311,0.68,0.9814814814814815
62,315,0.8734177215189873,0.8326271186440677,0.11823361823361822,0.6,1.0
63,320,0.8734177215189873,0.8425039872408293,0.11965811965811968,0.68,0.9629629629629629
64,325,0.8860759493670886,0.8517823639774859,0.12250712250712248,0.64,1.0
65,330,0.9113924050632911,0.888169868554095,0.10541310541310545,0.72,1.0
66,335,0.8607594936708861,0.8242669362992923,0.11680911680911676,0.64,0.9629629629629629
67,340,0.8860759493670886,0.8517823639774859,0.12678062678062674,0.64,1.0
68,345,0.8607594936708861,0.8188451115280384,0.11680911680911676,0.6,0.9814814814814815
69,350,0.8734177215189873,0.837848932676519,0.11538461538461542,0.64,0.9814814814814815
70,355,0.8607594936708861,0.8242669362992923,0.12250712250712248,0.64,0.9629629629629629
71,360,0.8734177215189873,0.837848932676519,0.12678062678062674,0.64,0.9814814814814815
72,365,0.8860759493670886,0.8517823639774859,0.11823361823361822,0.64,1.0
73,370,0.8734177215189873,0.837848932676519,0.12393162393162394,0.64,0.9814814814814815
74,375,0.8607594936708861,0.8242669362992923,0.11823361823361822,0.64,0.9629629629629629
75,380,0.8734177215189873,0.8425039872408293,0.13960113960113962,0.68,0.9629629629629629
76,385,0.8734177215189873,0.837848932676519,0.11965811965811968,0.64,0.9814814814814815
77,390,0.8987341772151899,0.8702791461412152,0.11538461538461542,0.68,1.0
78,395,0.8607594936708861,0.8188451115280384,0.11680911680911676,0.6,0.9814814814814815
79,400,0.9113924050632911,0.888169868554095,0.1096866096866097,0.72,1.0
80,405,0.8734177215189873,0.837848932676519,0.11680911680911676,0.64,0.9814814814814815
81,410,0.8607594936708861,0.8188451115280384,0.13247863247863245,0.6,0.9814814814814815
82,415,0.8860759493670886,0.8517823639774859,0.12678062678062674,0.64,1.0
83,420,0.8734177215189873,0.837848932676519,0.11396011396011396,0.64,0.9814814814814815
84,425,0.8860759493670886,0.8562184024266937,0.1125356125356125,0.68,0.9814814814814815
85,430,0.8734177215189873,0.837848932676519,0.12678062678062674,0.64,0.9814814814814815
86,435,0.9113924050632911,0.888169868554095,0.11396011396011396,0.72,1.0
